發生地點,天候名稱,行動電話或電腦或其他相類功能裝置名稱,Date_ID,是否酒駕,死亡人數,受傷人數
宜蘭縣,陰,0,20220224170644,0,1,0
桃園市,晴,0,20220225004500,0,1,3
臺中市,晴,0,20220225070000,0,1,0
基隆市,陰,0,20220225124500,0,1,0
高雄市,晴,0,20220225192800,0,1,0
苗栗縣,陰,0,20220226023824,0,1,0
花蓮縣,陰,0,20220226024715,1,1,0
新北市,晴,0,20220226094300,0,1,0
高雄市,晴,0,20220226102000,0,1,0
新北市,晴,0,20220226110500,0,1,1
屏東縣,晴,0,20220226112700,0,1,0
新北市,晴,0,20220226115200,0,1,0
高雄市,晴,0,20220226171000,0,1,0
臺中市,晴,0,20220227030400,0,1,0
臺南市,陰,0,20220227071200,0,1,0
臺中市,晴,0,20220227091200,0,1,0
宜蘭縣,晴,0,20220227161640,0,1,1
臺南市,晴,0,20220228072300,0,2,0
臺南市,晴,0,20220228135900,0,1,0
基隆市,晴,0,20220228154500,1,1,0
彰化縣,晴,0,20220301041200,0,1,0
臺中市,晴,0,20220301072400,0,1,0
新北市,晴,0,20220301104800,0,1,1
高雄市,晴,0,20220301192500,0,1,2
雲林縣,晴,0,20220302011000,0,1,0
高雄市,晴,0,20220302075400,0,1,1
桃園市,陰,0,20220302094900,0,1,0
高雄市,晴,0,20220302111100,0,1,0
桃園市,晴,0,20220302135000,0,1,0
臺南市,晴,0,20220302152506,0,1,0
臺北市,晴,0,20220302171300,0,1,4
臺南市,晴,0,20220302174700,0,1,1
苗栗縣,晴,0,20220302233400,1,1,1
高雄市,晴,0,20220303102900,0,1,0
嘉義縣,晴,0,20220303114746,0,1,0
高雄市,晴,0,20220303174500,1,1,0
臺中市,晴,0,20220304075500,0,1,0
臺中市,晴,0,20220304093800,0,1,0
嘉義縣,晴,0,20220304150200,0,1,0
臺南市,晴,0,20220304213551,0,1,1
新竹縣,晴,0,20220305011348,0,1,0
宜蘭縣,雨,0,20220305031100,0,1,1
臺南市,晴,0,20220305094928,0,1,3
臺南市,晴,0,20220305095100,0,1,0
臺中市,晴,0,20220305102000,0,1,0
高雄市,晴,0,20220305155000,0,1,1
雲林縣,晴,0,20220305212800,0,1,1
苗栗縣,晴,0,20220306002600,0,1,3
桃園市,晴,0,20220306021400,0,1,0
臺南市,晴,0,20220306022800,1,1,0
新北市,晴,0,20220306093000,0,1,0
雲林縣,陰,0,20220307032929,0,1,0
桃園市,雨,0,20220307050400,0,1,0
臺中市,雨,0,20220307093100,0,1,0
彰化縣,陰,0,20220307144600,0,1,0
苗栗縣,雨,0,20220307153700,1,1,0
高雄市,晴,0,20220307154500,0,1,0
臺中市,晴,0,20220307170600,0,1,1
新北市,雨,0,20220307172500,0,1,1
桃園市,晴,1,20220307214827,0,1,2
新北市,晴,0,20220308044500,0,1,0
新竹縣,晴,0,20220308071200,0,1,0
新竹市,晴,0,20220308075000,0,1,1
新北市,晴,0,20220308090200,0,1,1
臺北市,晴,0,20220308094700,0,1,0
臺南市,晴,0,20220308161137,0,1,1
嘉義縣,晴,0,20220308175605,0,1,0
臺中市,晴,0,20220308183200,0,1,3
高雄市,晴,0,20220308191600,0,1,3
臺中市,晴,0,20220309060800,0,1,1
高雄市,晴,0,20220309062700,0,1,0
嘉義縣,晴,0,20220309074100,0,1,0
高雄市,晴,0,20220309121700,0,1,1
嘉義縣,晴,0,20220309134102,0,1,0
新北市,晴,0,20220309150000,0,2,0
彰化縣,晴,0,20220309163600,0,1,0
臺中市,晴,0,20220309170700,0,1,0
彰化縣,晴,0,20220310042500,0,1,0
屏東縣,晴,0,20220310072110,0,1,0
桃園市,晴,0,20220310073500,0,1,0
屏東縣,晴,0,20220310104220,0,1,0
南投縣,晴,0,20220311001530,1,1,0
苗栗縣,晴,0,20220311034548,0,2,0
嘉義縣,晴,0,20220311045500,0,2,2
臺中市,晴,0,20220311093000,0,1,0
臺中市,晴,0,20220311093500,0,1,0
彰化縣,晴,0,20220311163000,0,2,0
屏東縣,晴,0,20220311181800,0,1,0
嘉義縣,晴,0,20220311223300,0,1,1
臺北市,晴,0,20220311234300,1,1,1
高雄市,晴,0,20220313065500,0,1,0
屏東縣,晴,0,20220313133300,0,1,0
臺南市,晴,0,20220313165200,0,2,1
臺南市,晴,0,20220313173520,0,1,0
臺中市,晴,0,20220313231200,0,1,0
新北市,晴,0,20220314132400,0,1,0
高雄市,晴,0,20220314163700,0,1,0
高雄市,晴,0,20220314180600,0,1,1
雲林縣,晴,0,20220314184000,0,1,1
南投縣,晴,0,20220314222156,0,1,0
南投縣,晴,0,20220315062441,0,1,1
彰化縣,晴,0,20220315062700,0,1,0
屏東縣,晴,0,20220315074000,0,1,0
屏東縣,晴,0,20220315095400,0,1,0
高雄市,晴,0,20220315110900,0,1,1
桃園市,晴,0,20220315123700,0,1,0
宜蘭縣,陰,0,20220315181055,0,1,0
高雄市,晴,0,20220315190700,0,1,1
嘉義縣,晴,0,20220315193203,0,1,1
臺中市,晴,0,20220316052200,0,1,0
南投縣,晴,0,20220316074544,0,1,0
雲林縣,晴,0,20220316081900,0,1,0
雲林縣,晴,0,20220316201500,0,1,0
臺中市,晴,0,20220316221500,0,1,0
屏東縣,晴,0,20220317065100,0,1,0
宜蘭縣,陰,0,20220317202000,0,1,0
新北市,雨,0,20220317221300,0,1,1
臺北市,陰,0,20220318012700,0,1,1
南投縣,陰,0,20220318035400,0,1,0
臺北市,晴,0,20220318185400,0,1,2
苗栗縣,晴,0,20220319053900,1,1,0
屏東縣,晴,0,20220319054500,0,1,0
高雄市,陰,0,20220319062900,0,1,0
新北市,晴,0,20220319130000,0,1,0
臺中市,晴,0,20220319134200,0,1,0
高雄市,晴,0,20220319135900,0,1,1
臺中市,晴,0,20220319144900,0,1,1
高雄市,晴,0,20220319190500,0,1,1
苗栗縣,晴,0,20220319210000,0,1,0
新北市,陰,0,20220320042700,1,1,0
嘉義縣,晴,0,20220320124500,0,1,0
臺南市,晴,0,20220320170754,1,1,0
新竹市,晴,0,20220320200349,0,1,1
高雄市,雨,0,20220321111900,0,1,0
臺南市,晴,0,20220321114900,0,1,0
雲林縣,晴,0,20220321163000,0,1,0
高雄市,晴,0,20220321185900,0,1,1
高雄市,晴,0,20220321230600,0,1,2
臺東縣,陰,0,20220322022300,0,1,0
臺中市,晴,0,20220322053100,0,1,1
花蓮縣,陰,0,20220322075455,0,1,0
嘉義縣,晴,0,20220322083400,0,1,0
臺南市,晴,0,20220322091529,0,1,0
苗栗縣,陰,0,20220322112755,0,1,1
屏東縣,晴,0,20220322121309,0,1,0
高雄市,晴,0,20220322192600,0,1,0
屏東縣,雨,0,20220323054300,1,1,0
桃園市,雨,0,20220323092700,0,1,0
彰化縣,雨,0,20220323103500,0,1,0
桃園市,雨,0,20220323113600,0,1,0
屏東縣,雨,0,20220323173200,1,1,0
新北市,雨,0,20220323235500,0,1,0
高雄市,雨,0,20220324050100,0,1,0
高雄市,晴,0,20220324122000,0,1,0
臺中市,雨,0,20220324184100,0,1,0
臺南市,陰,0,20220324230636,0,1,0
臺中市,陰,0,20220325061000,0,1,0
新竹縣,晴,0,20220325115855,0,1,0
新北市,晴,0,20220325154700,0,1,0
彰化縣,晴,0,20220325161400,0,1,0
高雄市,晴,0,20220325164500,0,1,0
臺中市,晴,0,20220325191800,1,1,2
高雄市,晴,0,20220326075900,0,1,1
臺北市,陰,0,20220326081400,0,1,0
臺東縣,晴,0,20220326142400,1,1,0
桃園市,雨,0,20220326222940,1,1,0
臺中市,雨,0,20220327195000,0,1,0
新北市,雨,0,20220328021400,0,1,4
雲林縣,陰,0,20220329051000,0,1,0
桃園市,晴,0,20220329182700,0,1,0
彰化縣,晴,0,20220329225800,0,1,0
臺中市,晴,0,20220330003800,1,1,0
新北市,晴,0,20220330024500,0,1,1
彰化縣,晴,0,20220330145100,0,1,0
臺南市,晴,0,20220330171109,0,1,0
屏東縣,晴,0,20220331080000,0,1,0
新北市,晴,0,20220331101500,0,1,0
屏東縣,晴,0,20220331101800,1,1,0
臺南市,晴,0,20220331110001,0,1,1
高雄市,晴,0,20220331131200,0,1,0
臺中市,晴,0,20220331171500,0,1,0
屏東縣,晴,0,20220401064500,1,1,0
屏東縣,晴,0,20220401182117,0,1,0
嘉義市,晴,0,20220401184100,0,1,1
屏東縣,晴,0,20220401205030,0,2,3
桃園市,雨,0,20220402114200,0,1,1
桃園市,雨,0,20220402181100,0,1,0
彰化縣,雨,0,20220402204000,0,1,0
新北市,雨,0,20220402231500,0,1,1
桃園市,雨,0,20220403011500,1,1,1
花蓮縣,雨,0,20220403040100,0,1,0
新北市,晴,0,20220403184900,0,1,0
彰化縣,晴,0,20220403203800,0,1,0
臺南市,晴,0,20220403223328,0,1,0
桃園市,晴,0,20220404062927,0,1,0
雲林縣,晴,0,20220404114300,0,1,1
屏東縣,晴,0,20220404141900,0,1,0
新北市,陰,0,20220404230700,0,1,1
雲林縣,晴,0,20220405052200,0,1,0
彰化縣,晴,0,20220405121000,0,1,0
臺中市,晴,0,20220405160800,0,1,0
雲林縣,晴,0,20220405230041,0,1,1
宜蘭縣,晴,0,20220406094000,0,1,0
澎湖縣,晴,0,20220406113100,0,1,1
彰化縣,晴,0,20220407090900,0,1,1
臺南市,晴,0,20220407095154,0,1,0
雲林縣,晴,0,20220407184800,0,1,0
桃園市,晴,0,20220407222500,0,1,0
臺南市,晴,0,20220408051200,0,1,1
雲林縣,晴,0,20220408082700,0,1,0
桃園市,晴,0,20220408085400,0,1,0
