Date_ID,car_hit,county
20220614,front,新北市
20220615,front_right,高雄市
20220615,front,桃園市
20220615,front,基隆市
20220615,right,臺南市
20220615,front,臺南市
20220615,right,高雄市
20220616,right,新北市
20220616,back,新北市
20220616,front,新北市
20220617,back,臺中市
20220617,front,臺中市
20220618,front,新北市
20220618,left,基隆市
20220619,front_right,高雄市
20220619,left,高雄市
20220620,left,臺南市
20220620,left,高雄市
20220620,front_right,高雄市
20220621,front,新北市
20220621,front_right,高雄市
20220621,left,高雄市
20220623,left,新北市
20220623,back,新北市
20220623,front,新北市
20220623,front_left,高雄市
20220623,right,高雄市
20220623,front_right,高雄市
20220625,front_right,高雄市
20220625,right,新北市
20220625,front,新北市
20220625,front_right,臺南市
20220625,left,臺南市
20220626,front,高雄市
20220627,right,新北市
20220627,front,新北市
20220627,right_back,新北市
20220627,front,新北市
20220627,front,新北市
20220628,front,桃園市
20220628,front,桃園市
20220629,front_right,高雄市
20220629,back,高雄市
20220629,left,高雄市
20220629,right_back,高雄市
20220629,front,新北市
20220629,front,新北市
20220701,right,高雄市
20220701,left,高雄市
20220702,front,臺北市
20220702,back,臺北市
20220702,front,臺北市
20220702,front_right,臺北市
20220702,front,彰化縣
20220702,front,彰化縣
20220702,front,彰化縣
20220703,right,高雄市
20220704,front_left,高雄市
20220704,back,臺中市
20220704,front,臺中市
20220704,right_back,臺中市
20220705,right,新北市
20220705,front,新北市
20220707,front_left,高雄市
20220707,front,高雄市
20220707,front,高雄市
20220707,left,新北市
20220707,right,新北市
20220709,front,新北市
20220709,front_left,新北市
20220711,front,新北市
20220711,left,新北市
20220712,left,桃園市
20220712,right_back,桃園市
20220712,back,彰化縣
20220712,back,彰化縣
20220713,front,雲林縣
20220713,right,高雄市
20220713,front_left,高雄市
20220714,front_left,高雄市
20220714,back,高雄市
20220714,front,新北市
20220715,front_right,新北市
20220715,front,臺南市
20220715,left,臺南市
20220715,front,新北市
20220715,right,高雄市
20220715,left,高雄市
20220716,front,宜蘭縣
20220718,front,新北市
20220718,front_left,新北市
20220718,right_back,新北市
20220718,left,新北市
20220718,back,新北市
20220718,right,新北市
20220718,left,新北市
20220719,right,臺南市
20220719,front,臺南市
20220719,front,宜蘭縣
20220719,right,宜蘭縣
20220720,right,桃園市
20220720,front,桃園市
20220721,front,高雄市
20220721,front_right,高雄市
20220721,left,高雄市
20220721,front_left,屏東縣
20220721,front,高雄市
20220721,left,高雄市
20220724,front_left,嘉義縣
20220725,front_left,屏東縣
20220725,front,屏東縣
20220725,front,桃園市
20220725,back,桃園市
20220725,front,新竹縣
20220725,front_right,基隆市
20220727,left,高雄市
20220727,front_right,高雄市
20220728,back,苗栗縣
20220729,front,新北市
20220729,front,新北市
20220730,front_right,臺北市
20220730,right,臺北市
20220731,front,彰化縣
20220731,left_back,彰化縣
20220801,front_right,新北市
20220801,front,新北市
20220802,front,花蓮縣
20220802,left,臺北市
20220802,front_right,臺北市
20220802,front,高雄市
20220802,front_left,高雄市
20220802,left,高雄市
20220802,front_right,高雄市
20220805,front,新北市
20220805,front_left,新北市
20220805,back,新北市
20220805,back,臺南市
20220805,front_right,新北市
20220806,front_right,新北市
20220806,back,新北市
20220806,right,嘉義縣
20220806,front,嘉義縣
20220806,right,高雄市
20220806,left,高雄市
20220808,front,臺中市
20220808,front,高雄市
20220808,back,高雄市
20220809,left,臺南市
20220809,right,高雄市
20220809,left_back,高雄市
20220809,back,臺中市
20220809,back,臺中市
20220809,back,臺中市
20220809,front,新北市
20220810,right,臺北市
20220811,front,屏東縣
20220811,right,高雄市
20220811,front,高雄市
20220813,back,新北市
20220813,front,新北市
20220813,front,臺北市
20220813,back,臺北市
20220813,back,臺北市
20220813,left,臺北市
20220813,left,臺北市
20220813,left,臺北市
20220813,left,臺北市
20220813,left,臺北市
20220813,front_right,屏東縣
20220813,front_left,屏東縣
20220813,front,屏東縣
20220815,left,新北市
20220815,front,新北市
20220816,front,高雄市
20220816,left,高雄市
20220818,front_right,臺南市
20220818,front_right,臺南市
20220821,front,基隆市
20220821,back,基隆市
20220821,front_right,新北市
20220822,front,新竹縣
20220822,left,臺中市
20220823,front,新北市
20220823,front,新北市
20220823,front_right,臺中市
20220824,right_back,臺北市
20220824,front,臺北市
20220824,right,新北市
20220825,front,苗栗縣
20220825,back,苗栗縣
20220825,front_right,臺北市
20220825,left_back,臺北市
20220826,front,高雄市
20220826,front,新北市
20220826,right,新北市
20220826,right,新北市
20220826,front_right,新北市
20220827,front,基隆市
20220828,left,臺南市
20220828,front,臺南市
20220829,front,新北市
20220829,front,新北市
20220831,right,新北市
20220831,front,新北市
20220831,right,新北市
20220831,front,新北市
20220831,front,新北市
20220831,right,新北市
20220901,front_right,高雄市
